Repo,RelativePath,LineNumber,MatchedPhrase,ExampleLine
"AmpliPi","docs\plexamp_setup.md","15","simply","To get the proper version, simply run"
"AmpliPi","docs\plexamp_setup.md","21","simply","This is the simplest option available. Simply navigate to the Settings pane on 'amplipi.local/' and click the ""Request Authentication"" button under ""Connect Plex Account"""
"AmpliPi","docs\preamp_dev.md","18","simply","Simply clone the AmpliPi repo and open the cloned directory in VS Code."
"Civium-Constitution","codex\Reality_Mediation.md","5","simply","**Reality Mediation** is the process by which intelligences - individually or collectively - translate raw experience, sensation, or data into usable models of the world. In Civium, this process is considered a *co-creative act*, not a passive observation. Reality is not simply received - it is constructed, filtered, and continuously tuned."
"Civium-Constitution","insight\Forgiveness_from_Salvation_to_Recursion.md","89","simply","It has simply been **refactored**."
"Civium-Constitution","insight\Inadequacy_of_Words.md","71","simply","It simply removed the constraints that made genius rare."
"Civium-Constitution","intent\strategic_sustainability_intent.md","11","cutting-edge","- Leverage cutting-edge technology (AI efficiency, renewable energy) to minimize ecological footprint."
"CoArena","docs\advice_bombs\batch_20251014_124554\.34_Spanky_VisionFlagship_20251009_184430\payload\Vision_Paper_Outline.md","16","simply","Sponsors should read this not in “clinical mode” but in “vision mode.” Educators may find lesson plans hidden in the imagery. Citizens can simply smile at the thought that meetings need not always be hell."
"CoCache","advice-bombs\extracted\Desktop_Roundup_20251017_105715\ScottChacon_Invite_CoCivium.txt","51","simply","If you’d like, I’d be happy to share more once our public-facing materials are a little more polished. For now, I simply wanted to reach out, acknowledge what we share, and invite you to consider whether CoCivium might be the next frontier for the GitHub ethos."
"CoCache","advice-bombs\extracted\Desktop_Roundup_20251017_110528\ScottChacon_Invite_CoCivium.txt","51","simply","If you’d like, I’d be happy to share more once our public-facing materials are a little more polished. For now, I simply wanted to reach out, acknowledge what we share, and invite you to consider whether CoCivium might be the next frontier for the GitHub ethos."
