"Repo","Category","Path","Size"
"_coagent-ghpages\mission\Mission.md","Mission","_coagent-ghpages\mission\Mission.md","62"
"CoAgent__mvp3_resume-20250923-111953Z\docs\mission\Mission.md","Mission","CoAgent__mvp3_resume-20250923-111953Z\docs\mission\Mission.md","62"
"CoAgent\docs\mission\Mission.md","Mission","CoAgent\docs\mission\Mission.md","62"
"CoCivium-outreach\docs\mission\Mission.md","Mission","CoCivium-outreach\docs\mission\Mission.md","62"
"CoCivium-website\docs\mission\Mission.md","Mission","CoCivium-website\docs\mission\Mission.md","62"
"CoCivium.clean\docs\mission\Mission.md","Mission","CoCivium.clean\docs\mission\Mission.md","62"
"CoCivium\docs\mission\Mission.md","Mission","CoCivium\docs\mission\Mission.md","62"
"CoLaminar\docs\mission\Mission.md","Mission","CoLaminar\docs\mission\Mission.md","62"
"CoSteward\docs\intent\MISSION.md","Mission","CoSteward\docs\intent\MISSION.md","62"
"_import_scans\Civium_20250820_014135\intent\Intent_Civium_Design_Principles.md","Principles","_import_scans\Civium_20250820_014135\intent\Intent_Civium_Design_Principles.md","401"
"$GH\CoCache\advice-bombs\extracted\AdviceBomb_InvestorPack_CoCivium_20251016_160530\AdviceBomb_InvestorPack_CoCivium_20251016_160530\datapack\governance\Governance_Principles.md","Principles","$GH\CoCache\advice-bombs\extracted\AdviceBomb_InvestorPack_CoCivium_20251016_160530\AdviceBomb_InvestorPack_CoCivium_20251016_160530\datapack\governance\Governance_Principles.md","600"
"$GH\CoCache\docs\advice_bombs\batch_20251014_124554\.8_Spanky_CCSeedWrap_20251008_020133\payload\canon.CoCivium_Principles_v0.1.md","Principles","$GH\CoCache\docs\advice_bombs\batch_20251014_124554\.8_Spanky_CCSeedWrap_20251008_020133\payload\canon.CoCivium_Principles_v0.1.md","52"
"$GH\CoCache\Insights\HX_Thesis_ethics-philosophy-first-principles_v1.0.md","Principles","$GH\CoCache\Insights\HX_Thesis_ethics-philosophy-first-principles_v1.0.md","769"
"$GH\CoCache\Insights\OB_Thesis_open-banking-data-trusts-principles_v1.0.md","Principles","$GH\CoCache\Insights\OB_Thesis_open-banking-data-trusts-principles_v1.0.md","770"
"$GH\CoCache\PRINCIPLES\.PRINCIPLES_CoCivium_SEED.md","Principles","$GH\CoCache\PRINCIPLES\.PRINCIPLES_CoCivium_SEED.md","1667"
"Civium-Constitution\insight\Stewardship_Ethics_Principles_c8_20250717.md","Principles","Civium-Constitution\insight\Stewardship_Ethics_Principles_c8_20250717.md","1245"
"Civium\intent\Intent_Civium_Design_Principles.md","Principles","Civium\intent\Intent_Civium_Design_Principles.md","402"
"CoCache\advice-bombs\extracted\AdviceBomb_InvestorPack_CoCivium_20251016_160530\AdviceBomb_InvestorPack_CoCivium_20251016_160530\datapack\governance\Governance_Principles.md","Principles","CoCache\advice-bombs\extracted\AdviceBomb_InvestorPack_CoCivium_20251016_160530\AdviceBomb_InvestorPack_CoCivium_20251016_160530\datapack\governance\Governance_Principles.md","602"
"CoCache\docs\advice_bombs\batch_20251014_124554\.8_Spanky_CCSeedWrap_20251008_020133\payload\canon.CoCivium_Principles_v0.1.md","Principles","CoCache\docs\advice_bombs\batch_20251014_124554\.8_Spanky_CCSeedWrap_20251008_020133\payload\canon.CoCivium_Principles_v0.1.md","54"
"CoCache\Insights\HX_Thesis_ethics-philosophy-first-principles_v1.0.md","Principles","CoCache\Insights\HX_Thesis_ethics-philosophy-first-principles_v1.0.md","771"
"CoCache\Insights\OB_Thesis_open-banking-data-trusts-principles_v1.0.md","Principles","CoCache\Insights\OB_Thesis_open-banking-data-trusts-principles_v1.0.md","772"
"CoCache\PRINCIPLES\.PRINCIPLES_CoCivium_SEED.md","Principles","CoCache\PRINCIPLES\.PRINCIPLES_CoCivium_SEED.md","1669"
"CoCivium-outreach\docs\cc\01_Principles.md","Principles","CoCivium-outreach\docs\cc\01_Principles.md","265"
"CoCivium-outreach\intent\Intent_Civium_Design_Principles.md","Principles","CoCivium-outreach\intent\Intent_Civium_Design_Principles.md","409"
"CoCivium-outreach\legacy\Civium\intent\Intent_Civium_Design_Principles.md","Principles","CoCivium-outreach\legacy\Civium\intent\Intent_Civium_Design_Principles.md","666"
"CoCivium-outreach\legacy\CoCivium\_pr\ci_og-image-20250813_2231\legacy\Civium\intent\Intent_Civium_Design_Principles.md","Principles","CoCivium-outreach\legacy\CoCivium\_pr\ci_og-image-20250813_2231\legacy\Civium\intent\Intent_Civium_Design_Principles.md","666"
"CoCivium.clean\legacy\Civium\intent\Intent_Civium_Design_Principles.md","Principles","CoCivium.clean\legacy\Civium\intent\Intent_Civium_Design_Principles.md","537"
"CoCivium.clean\legacy\CoCivium\_pr\ci_og-image-20250813_2231\legacy\Civium\intent\Intent_Civium_Design_Principles.md","Principles","CoCivium.clean\legacy\CoCivium\_pr\ci_og-image-20250813_2231\legacy\Civium\intent\Intent_Civium_Design_Principles.md","537"
"CoCivium.clean\staging\_imported\Civium\intent\Intent_Civium_Design_Principles.md","Principles","CoCivium.clean\staging\_imported\Civium\intent\Intent_Civium_Design_Principles.md","537"
"CoCivium\.canon.CoCivium_Principles_v0.1.md","Principles","CoCivium\.canon.CoCivium_Principles_v0.1.md","255"
"CoCivium\docs\cc\01_Principles.md","Principles","CoCivium\docs\cc\01_Principles.md","265"
"CoCivium\intent\Intent_Civium_Design_Principles.md","Principles","CoCivium\intent\Intent_Civium_Design_Principles.md","418"
"CoCivium\legacy\Civium\intent\Intent_Civium_Design_Principles.md","Principles","CoCivium\legacy\Civium\intent\Intent_Civium_Design_Principles.md","675"
"CoCivium\legacy\CoCivium\_pr\ci_og-image-20250813_2231\legacy\Civium\intent\Intent_Civium_Design_Principles.md","Principles","CoCivium\legacy\CoCivium\_pr\ci_og-image-20250813_2231\legacy\Civium\intent\Intent_Civium_Design_Principles.md","675"
"CoCiviumBackUp\legacy\Civium\intent\Intent_Civium_Design_Principles.md","Principles","CoCiviumBackUp\legacy\Civium\intent\Intent_Civium_Design_Principles.md","408"
"CoCiviumBackUp\legacy\CoCivium\_pr\ci_og-image-20250813_2231\legacy\Civium\intent\Intent_Civium_Design_Principles.md","Principles","CoCiviumBackUp\legacy\CoCivium\_pr\ci_og-image-20250813_2231\legacy\Civium\intent\Intent_Civium_Design_Principles.md","408"
"CoCiviumBackUp\staging\_imported\Civium\intent\Intent_Civium_Design_Principles.md","Principles","CoCiviumBackUp\staging\_imported\Civium\intent\Intent_Civium_Design_Principles.md","408"
"_coagent-ghpages\vision\Vision.md","Vision","_coagent-ghpages\vision\Vision.md","61"
"CoAgent__mvp3_resume-20250923-111953Z\docs\vision\Vision.md","Vision","CoAgent__mvp3_resume-20250923-111953Z\docs\vision\Vision.md","61"
"CoAgent\docs\vision\Vision.md","Vision","CoAgent\docs\vision\Vision.md","61"
"CoCivium-outreach\docs\vision\Vision.md","Vision","CoCivium-outreach\docs\vision\Vision.md","61"
"CoCivium-website\docs\vision\Vision.md","Vision","CoCivium-website\docs\vision\Vision.md","61"
"CoCivium.clean\docs\vision\Vision.md","Vision","CoCivium.clean\docs\vision\Vision.md","61"
"CoCivium\docs\vision\Vision.md","Vision","CoCivium\docs\vision\Vision.md","61"
"CoLaminar\docs\vision\Vision.md","Vision","CoLaminar\docs\vision\Vision.md","61"
"CoSteward\docs\intent\VISION.md","Vision","CoSteward\docs\intent\VISION.md","74"
